theme,start,end
Beyoncé,1,523
Frédéric_Chopin,524,1013
Sino-Tibetan_relations_during_the_Ming_dynasty,1014,1206
The_Legend_of_Zelda:_Twilight_Princess,1207,1455
Spectre_(2015_film),1456,1775
New_York_City,1776,2338
To_Kill_a_Mockingbird,2339,2504
Solar_energy,2505,2680
Kanye_West,2681,2960
Buddhism,2961,3382
American_Idol,3383,3907
Dog,3908,4182
2008_Summer_Olympics_torch_relay,4183,4538
Genome,4539,4683
Comprehensive_school,4684,4829
Republic_of_the_Congo,4830,5056
Prime_minister,5057,5197
Institute_of_technology,5198,5296
Dutch_Republic,5297,5435
Symbiosis,5436,5559
Iranian_languages,5560,5659
Lighting,5660,5757
Separation_of_powers_under_the_United_States_Constitution,5758,5918
Architecture,5919,6157
Southern_Europe,6158,6305
BBC_Television,6306,6459
Arnold_Schwarzenegger,6460,6624
Plymouth,6625,6869
Christian,6870,7025
Sony_Music_Entertainment,7026,7205
Oklahoma_City,7206,7321
Hunter-gatherer,7322,7537
United_Nations_Population_Fund,7538,7672
Russian_Soviet_Federative_Socialist_Republic,7673,7914
Alexander_Graham_Bell,7915,8134
Internet_service_provider,8135,8244
Comics,8245,8465
Saint_Helena,8466,8685
Aspirated_consonant,8686,8867
Hydrogen,8868,8991
Space_Race,8992,9097
BeiDou_Navigation_Satellite_System,9098,9320
Canon_law,9321,9454
Communications_in_Somalia,9455,9610
Boston,9611,9850
Universal_Studios,9851,10103
Estonian_language,10104,10303
Daylight_saving_time,10304,10483
Royal_Institute_of_British_Architects,10484,10641
National_Archives_and_Records_Administration,10642,10821
Tristan_da_Cunha,10822,10948
University_of_Kansas,10949,11190
Arena_Football_League,11191,11371
Bern,11372,11488
Westminster_Abbey,11489,11769
Political_corruption,11770,11897
Classical_music,11898,12113
Slavs,12114,12391
Treaty,12392,12585
Josip_Broz_Tito,12586,12806
Marshall_Islands,12807,12999
Szlachta,13000,13191
Virgil,13192,13341
Alps,13342,13595
Gene,13596,13785
Guinea-Bissau,13786,13946
List_of_numbered_streets_in_Manhattan,13947,14091
Brain,14092,14235
Near_East,14236,14405
Zhejiang,14406,14656
Ministry_of_Defence_(United_Kingdom),14657,14813
High-definition_television,14814,15091
Wood,15092,15321
Somalis,15322,15544
Middle_Ages,15545,15878
Phonology,15879,16029
Computer,16030,16185
Black_people,16186,16384
New_Delhi,16385,16561
Bird_migration,16562,16747
"Atlantic_City,_New_Jersey",16748,16898
MP3,16899,17080
House_music,17081,17377
Letter_case,17378,17419
Chihuahua_(state),17420,17610
Pitch_(music),17611,17632
England_national_football_team,17633,17719
Houston,17720,18097
Copper,18098,18319
Identity_(social_science),18320,18436
Himachal_Pradesh,18437,18598
Communication,18599,18688
Computer_security,18689,18931
Orthodox_Judaism,18932,19102
Animal,19103,19155
Beer,19156,19404
Race_and_ethnicity_in_the_United_States_Census,19405,19442
Imperial_College_London,19443,19616
Hanover,19617,19760
Emotion,19761,20024
Old_English,20025,20162
Aircraft_carrier,20163,20410
Federal_Aviation_Administration,20411,20478
Lancashire,20479,20614
Mesozoic,20615,20729
Videoconferencing,20730,20878
Gregorian_calendar,20879,21022
Xbox_360,21023,21210
Military_history_of_the_United_States,21211,21503
Infrared,21504,21629
ASCII,21630,21794
Digestion,21795,21850
Gymnastics,21851,21995
FC_Barcelona,21996,22169
Melbourne,22170,22398
"John,_King_of_England",22399,22578
Macintosh,22579,22910
Valencia,22911,23084
General_Electric,23085,23192
United_States_Army,23193,23406
Franco-Prussian_War,23407,23600
Adolescence,23601,23815
Antarctica,23816,24184
Eritrea,24185,24451
Uranium,24452,24720
Circadian_rhythm,24721,24867
Sexual_orientation,24868,25068
Dell,25069,25357
Nintendo_Entertainment_System,25358,25637
Seattle,25638,25825
Memory,25826,26021
Multiracial_American,26022,26362
Ashkenazi_Jews,26363,26493
Pharmaceutical_industry,26494,26895
Umayyad_Caliphate,26896,27123
Asphalt,27124,27391
Queen_Victoria,27392,27998
Israel,27999,28199
Hellenistic_period,28200,28528
Bill_%26_Melinda_Gates_Foundation,28529,28655
Dutch_language,28656,28817
Buckingham_Palace,28818,29069
Incandescent_light_bulb,29070,29357
Arsenal_F.C.,29358,29595
Chicago_Cubs,29596,29737
Korean_War,29738,29976
Copyright_infringement,29977,30233
Greece,30234,30531
Royal_Dutch_Shell,30532,30698
Mammal,30699,30839
East_India_Company,30840,31049
Hokkien,31050,31218
Professional_wrestling,31219,31384
Film_speed,31385,31580
Mexico_City,31581,31859
Napoleon,31860,32174
Germans,32175,32394
Southeast_Asia,32395,32543
Brigham_Young_University,32544,32821
Intellectual_property,32822,32945
Florida,32946,33163
Queen_(band),33164,33355
Presbyterianism,33356,33574
Thuringia,33575,33745
Predation,33746,33959
British_Empire,33960,34171
Botany,34172,34341
Madonna_(entertainer),34342,34585
Law_of_the_United_States,34586,34818
Myanmar,34819,35056
Jews,35057,35282
Cotton,35283,35475
Data_compression,35476,35621
The_Sun_(United_Kingdom),35622,35788
Pesticide,35789,35951
Somerset,35952,36181
Yale_University,36182,36494
Late_Middle_Ages,36495,36765
"Ann_Arbor,_Michigan",36766,36962
Gothic_architecture,36963,37224
Cubism,37225,37425
Political_philosophy,37426,37611
Norfolk_Island,37612,37814
Edmund_Burke,37815,38073
Samoa,38074,38248
Pope_Paul_VI,38249,38445
Switzerland,38446,38688
Mali,38689,38839
"Raleigh,_North_Carolina",38840,39073
Crimean_War,39074,39289
Nonprofit_organization,39290,39460
Literature,39461,39724
Avicenna,39725,40044
Nigeria,40045,40224
Molotov%E2%80%93Ribbentrop_Pact,40225,40484
History_of_science,40485,40686
Digimon,40687,40830
Glacier,40831,40975
Affirmative_action_in_the_United_States,40976,41281
FA_Cup,41282,41511
"New_Haven,_Connecticut",41512,41926
Alsace,41927,42087
Carnival,42088,42279
Baptists,42280,42425
Child_labour,42426,42588
Dissolution_of_the_Soviet_Union,42589,42809
Crucifixion_of_Jesus,42810,43030
Supreme_court,43031,43165
Textual_criticism,43166,43370
Gramophone_record,43371,43655
Turner_Classic_Movies,43656,43813
Hindu_philosophy,43814,43973
A_cappella,43974,44171
Dominican_Order,44172,44448
Eton_College,44449,44697
Cork_(city),44698,44980
Galicia_(Spain),44981,45093
USB,45094,45266
Sichuan,45267,45503
Unicode,45504,45701
Detroit,45702,45925
London,45926,46180
Culture,46181,46320
Sahara,46321,46509
Rule_of_law,46510,46658
Exhibition_game,46659,46811
Northwestern_University,46812,47105
Strasbourg,47106,47322
History_of_India,47323,47594
Gamal_Abdel_Nasser,47595,47890
Pope_John_XXIII,47891,48058
Time,48059,48339
"St._John%27s,_Newfoundland_and_Labrador",48340,48497
John_von_Neumann,48498,48658
PlayStation_3,48659,49000
Royal_assent,49001,49223
Central_African_Republic,49224,49391
Asthma,49392,49551
LaserDisc,49552,49672
George_VI,49673,49808
Federalism,49809,50045
Annelid,50046,50285
War_on_Terror,50286,50537
Labour_Party_(UK),50538,50727
Estonia,50728,50932
Alaska,50933,51225
Mandolin,51226,51539
Insect,51540,51770
Race_(human_categorization),51771,51991
Paris,51992,52258
Apollo,52259,52371
"United_States_presidential_election,_2004",52372,52556
Liberal_Party_of_Australia,52557,52695
Samurai,52696,52856
Software_testing,52857,53012
States_of_Germany,53013,53203
Glass,53204,53378
Renewable_energy_commercialization,53379,53572
Palermo,53573,53705
Green,53706,53862
Neoclassical_architecture,53863,53994
Serbo-Croatian,53995,54124
CBC_Television,54125,54256
IBM,54257,54442
Energy,54443,54646
East_Prussia,54647,54797
Ottoman_Empire,54798,55013
Philosophy_of_space_and_time,55014,55155
Neolithic,55156,55305
Friedrich_Hayek,55306,55453
Diarrhea,55454,55580
Madrasa,55581,55794
Miami,55795,56101
Philadelphia,56102,56281
John_Kerry,56282,56456
Rajasthan,56457,56628
Guam,56629,56849
Empiricism,56850,57023
Idealism,57024,57222
Czech_language,57223,57408
Education,57409,57592
Tennessee,57593,57764
Canadian_football,57765,57937
Seven_Years%27_War,57938,58156
Cyprus,58157,58327
Steven_Spielberg,58328,58691
Elevator,58692,58849
Railway_electrification_system,58850,59084
Spanish_language_in_the_United_States,59085,59276
"Charleston,_South_Carolina",59277,59619
The_Blitz,59620,59913
Vacuum,59914,60115
Quran,60116,60386
Geography_of_the_United_States,60387,60529
Compact_disc,60530,60679
Modern_history,60680,61013
Flowering_plant,61014,61166
Hyderabad,61167,61345
"Santa_Monica,_California",61346,61497
Pain,61498,61698
Database,61699,61906
"Tucson,_Arizona",61907,62165
Bacteria,62166,62315
Printed_circuit_board,62316,62535
Greeks,62536,62868
Premier_League,62869,63240
Roman_Republic,63241,63514
Pacific_War,63515,63773
San_Diego,63774,64101
Iran,64102,64291
British_Isles,64292,64533
Association_football,64534,64726
Georgian_architecture,64727,64865
Liberia,64866,65010
Alfred_North_Whitehead,65011,65363
Antibiotics,65364,65573
Windows_8,65574,65874
Swaziland,65875,66046
Translation,66047,66243
Airport,66244,66398
Super_Nintendo_Entertainment_System,66399,66556
Sumer,66557,66750
Tuvalu,66751,66955
Namibia,66956,67205
Russian_language,67206,67394
United_States_Air_Force,67395,67558
Light-emitting_diode,67559,67829
Great_power,67830,67964
Bird,67965,68131
Qing_dynasty,68132,68358
Indigenous_peoples_of_the_Americas,68359,68549
Red,68550,68848
Mosaic,68849,69073
University,69074,69284
Religion_in_ancient_Rome,69285,69567
YouTube,69568,69802
Separation_of_church_and_state_in_the_United_States,69803,70074
Bras%C3%ADlia,70075,70232
Economy_of_Greece,70233,70429
Party_leaders_of_the_United_States_House_of_Representatives,70430,70611
Armenians,70612,70788
Jehovah%27s_Witnesses,70789,71093
Dwight_D._Eisenhower,71094,71399
The_Bronx,71400,71581
Financial_crisis_of_2007%E2%80%9308,71582,71860
Portugal,71861,72168
Humanism,72169,72351
Geological_history_of_Earth,72352,72515
Police,72516,72765
Genocide,72766,72963
Saint_Barth%C3%A9lemy,72964,73134
Tajikistan,73135,73353
University_of_Notre_Dame,73354,73551
Anthropology,73552,73802
Montana,73803,73911
"Punjab,_Pakistan",73912,74088
Infection,74089,74288
Hunting,74289,74663
Kathmandu,74664,74857
Myocardial_infarction,74858,74950
Matter,74951,75055
